FID;ID_MANANTIAL;LATITUD;LONGITUD;FECHA;CAUDAL;TEMPERATUR;OLOR;CARBONATO_;BICARBONAT;SULFURO_HI;PH_LABORATORIO;CONDUCTIVIDAD;ALCALINIDAD;BICARBON_1;CARBONATOS;SOLIDOS_SO;SOLIDOS_TOTAL;CLORUROS;SULFATOS;NITRATOS;CALCIO;MAGNESIO;ESTRONCIO;SODIO;POTASIO;HIERRO;MANGANESO;ALUMINIO;SILICIO;SILICE;BORO;LITIO;FLUOR;MERCURIO;ZINC;YODURO;BROMURO;NIQUEL;ARSENICO;ANTIMONIO;CESIO;RUBIDIO;DEUTERIO;OXIGENO18;GAS_CARBON;SULFURO__1;METANO;ARGON;NITROGENO;HELIO;HIDROGENO;RADON;PH_IN_SITU;CONDUCTIVIDAD_ELÉCTRICA;AMONIO;OXIGENO;CONSULTABL;OBSERVACIO;DEPOSITOS_;CLASIFICACIÓN;MONOXIDO_C;FOSFATOS;x;y
1;1122;4,95194198;-75,52083893;7/29/2011;0,25;31;Ausente;0;1391;0;6,1;3100;1140,163934;1391;0;1768;0;368;49,2;32,2;89,5;41;0,3;530;27;4,7;0,6;-999;34,2;73,28571429;0;1,6;0,7;3,5;0;0;0;0;0;0;0;0;-77,25189125;-12,24949621;0;0;0;0;0;0;0;0;6,12;3100;0;0;1;;Óxidos de Hierro;Bicarbonatada;0;-999;-75,52083893;4,951941979
2;1123;4,91261771;-75,45702844;8/1/2011;0,25;51;Ausente;0;463,6;0;6,71;2825;380;463,6;0;1254;2028;566;35,34;0,63;35;7,5;0,249;465;51,5;-999;0,2;-999;65,2;139,7142857;0;2,5;0,73;2;0;0;0;0;0;0;0;0;-97,19094803;-12,4400053;0;0;0;0;0;0;0;0;6,71;2825;0;0;1;;;Clorurada;0;-999;-75,45702844;4,91261771
3;909;5,06388359;-73,5301886;8/31/2003;0;36,8;Ausente;0;450;0;7,87;983;368,852459;450;0;800;0;96,9;-999;0,656;7,23;2,05;0,208;209;2,76;0,113;0,026;0,084;14,04666667;30,1;0,459;0,084;0,989;-999;0;-999;-999;0;-999;-999;-999;-999;-66,364;-9,391;0;0;0;0;0;0;0;0;6,752;983;0,046;0;1;;;Bicarbonatada;0;-999;-73,5301886;5,063883588
4;910;5,06041632;-73,52552037;8/31/2003;1,3;50,8;Ausente;0;340;0;7,48;1363;278,6885246;340;0;914;0;256;0,242;-999;51,2;4,33;2,09;203;6,35;1,15;0,066;0,012;22,91333333;49,1;0,446;0,012;0,455;-999;0;-999;0,171;0;-999;-999;-999;-999;-66,623;-9,821;0;0;0;0;0;0;0;0;6,147;1363;2,46;0;1;Clasificación difiere de informe original  por diferencia de unidades (aquí en meq/L);;Clorurada;0;-999;-73,52552037;5,060416319
5;1124;4,91793756;-75,45509256;8/1/2011;1;62,5;Ausente;0;585,6;0;6,58;4900;480;585,6;0;2688;2782;1268;108;-999;79;11;0,264;824;75;0,3;0,3;-999;79,2;169,7142857;0;4,9;0,93;-999;0;0;0;0;0;0;0;0;-97,42763355;-11,43586365;0;0;0;0;0;0;0;0;6,58;4900;0;0;1;;Óxidos de Hierro;Clorurada;0;-999;-75,45509256;4,917937564
6;1125;4,91895759;-75,45583379;8/1/2011;1;67,5;Ausente;0;536,8;0;6,19;3670;440;536,8;0;2104;2188;845;112;-999;82,5;11;0,172;607;63,5;2,3;0,6;-999;75,9;162,6428571;0;3,15;1,27;2;0;0;0;0;0;0;0;0;-93,12392801;-11,55757779;0;0;0;0;0;0;0;0;6,19;3670;0;0;1;;Óxidos de Hierro;Clorurada;0;-999;-75,45583379;4,918957591
7;1126;4,91468393;-75,44594604;8/2/2011;0,1;84;Ausente;0;268;0;6,7;3880;219,6721311;268;0;2182;2230;1122;87,2;-999;30;10;-999;804;82,5;-999;1;-999;87,5;187,5;0;4,1;1,2;2;0;0;0;0;0;0;0;0;-91,8802571;-11,28801336;0;0;0;0;0;0;0;0;6,7;3880;0;0;1;;Carbonatos;Clorurada;0;-999;-75,44594604;4,914683933
8;1127;4,91120321;-75,44600196;8/2/2011;5;88;Ausente;0;268;0;7,78;3430;219,6721311;268;0;1902;1972;995;107;-999;30;4;-999;805;81;-999;0,3;-999;109;233,5714286;0;3,5;0,9;0,5;0;0;0;0;0;0;0;0;-92,63255792;-11,6056822;0;0;0;0;0;0;0;0;7,78;3430;0;0;1;;Azufre Coloidal;Clorurada;0;0,4;-75,44600196;4,911203212
9;1128;4,91392465;-75,4415188;8/3/2011;0,75;30,6;Ausente;0;84,18;0;6,73;139,2;69;84,18;0;156;0;2,34;3,2;2,17;8;6,2;-999;8,2;5,3;-999;-999;-999;52,9;113,3571429;0;-999;0,38;0;0;0;0;0;0;0;0;0;-82,05;-11,83;0;0;0;0;0;0;0;0;6,73;139,2;0;0;1;;;Bicarbonatada;0;0,13;-75,4415188;4,913924652
10;1129;4,90128109;-75,44388142;8/4/2011;0,1;46;Leve;0;378;0;6,1;3230;309,8360656;378;0;1732;2760;919;95,4;20,6;75;7,5;-999;580;73;0,8;0,2;-999;60,3;129,2142857;0;3,7;0,9;2;0;0;0;0;0;0;0;0;-92,64;-12,57;0;0;0;0;0;0;0;0;6,11;3230;0;0;1;;;Clorurada;0;-999;-75,44388142;4,901281088
11;1130;4,90505367;-75,45131625;8/4/2011;4;58;Ausente;0;293;0;6,3;2468;240,1639344;293;0;1386;1476;780;29,8;-999;32,5;12;0,2;578;53,5;0,7;0,3;-999;88,3;189,2142857;0;2,5;1;0,5;0;0;0;0;0;0;0;0;-90,27674081;-12,14158454;0;0;0;0;0;0;0;0;6,26;2468;0;0;1;;Óxidos de Hierro;Clorurada;0;0,1;-75,45131625;4,90505367
12;1006;11,02543907;-74,21619971;10/1/2007;1;40,8;Ausente;0;390;-888;8,02;2180;475,8;390;0;1342;0;264;338;-999;190;32,5;4;212;30;-999;-999;-888;17,6;37,71428571;-999;0,5;0,81;-888;-888;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,02;2180;0;0;1;;No;Clorurada-Sulfatada;0;1,4;-74,21619971;11,02543907
13;1007;5,58816753;-73,52974264;1/1/1981;0;0;Leve;0;0;0;7,9;0;1000;1220;0;0;0;1985;18;0;420;38,4;0;1150;97,5;0;0;0;10,26666667;22;2,5;8,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,9;0;0;0;1;;Óxidos de Hierro;Clorurada;0;0;-73,52974264;5,588167526
14;1297;2,33003919;-76,48951022;8/31/1981;0;74;H2S;0;915;0;0;0;14,83606557;915;0;0;0;1666,15;2688;0;108;32,4;0;2162;198,9;0;0;0;0;114;36,79;8,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,2;0;0;0;1;;;Sulfatada;0;0;-76,48951022;2,330039185
